Albertslund;Nordmarks Allé;2620;Albertslund;0165
Allerød;Bjarkesvej;3450;Allerød;0201
Assens;Rådhus Allé 5;5610;Assens;0420
Ballerup;Hold-an Vej 7;2750;Ballerup;0151
Billund;Jorden Rundt 1;7200;Grindsted;0530
Bornholm;Ullasvej 23;3700;Rønne;0400
Brøndby;Park Allé 160;2605;Brøndby;0153
Brønderslev;Ny Rådhusplads 1;9700;Brønderslev;0810
Dragør;Kirkevej 7;2791;Dragør;0155
Egedal;Dronning Dagmars Vej 200;3660;Stenløse;0240
Esbjerg;Torvegade 74;6700;Esbjerg;0561
Fanø;Skolevej 5-7;6720;Fanø;0563
Favrskov;Skovvej 20;8382;Hinnerup;0710
Faxe;Frederiksgade 9;4690;Haslev;0320
Fredensborg;Egevangen 3 B;2980;Kokkedal;0210
Fredericia;Gothersgade 20;7000;Fredericia;0607
Frederiksberg;Smallegade 1;2000;Frederiksberg;0147
Frederikshavn;Rådhus Allé 100;9900;Frederikshavn;0813
Frederikssund;Torvet 2;3600;Frederikssund;0250
Furesø;Rådhustorvet 2;3520;Farum;0190
Faaborg-Midtfyn;Tinghøj Allé 2;5750;Ringe;0430
Gentofte;Bernstorffsvej 161;2920;Charlottenlund;0157
Gladsaxe;Rådhus Allé 7;2860;Søborg;0159
Glostrup;Rådhusparken 2;2600;Glostrup;0161
Greve;Rådhusholmen 10;2670;Greve;0253
Gribskov;Rådhusvej 3;3200;Helsinge;0270
Guldborgsund;Parkvej 37;4800;Nykøbing Falster;0376
Haderslev;Christian X's Vej 39;6100;Haderslev;0510
Halsnæs;Rådhuspladsen 1;3300;Frederiksværk;0260
Hedensted;Niels Espes Vej 8;8722;Hedensted;0766
Helsingør;Stengade 59;3000;Helsingør;0217
Herlev;Herlev Bygade 90;2730;Herlev;0163
Herning;Torvet;7400;Herning;0657
Hillerød;Trollesmindealle 27;3400;Hillerød;0219
Hjørring;Nørregade 2;9800;Hjørring;1081
Holbæk;Kanalstræde 2;4300;Holbæk;0316
Holstebro;Kirkestræde 11;7500;Holstebro;0661
Horsens;Rådhustorvet 4;8700;Horsens;0615
Hvidovre;Hvidovrevej 278;2650;Hvidovre;0167
Høje-Taastrup;Rådhusstræde 1;2630;Taastrup;0169
Hørsholm;Slotsmarken 13;2970;Hørsholm;0223
Ikast-Brande;Rådhusstrædet 6;7430;Ikast;0756
Ishøj;Ishøj Store Torv 20;2635;Ishøj;0183
Jammerbugt;Toftevej 43;9440;Aabybro;0849
Kalundborg;Klosterparkvej 7;4400;Kalundborg;0326
Kerteminde;Hans Schacksvej 4;5300;Kerteminde;0440
Kolding;Akseltorv 1;6000;Kolding;0621
København;Rådhuset;1599;København V;0101
Køge;Torvet 1;4600;Køge;0259
Langeland;Fredensvej 1;5900;Rudkøbing;0482
Lejre;Møllebjergvej 4;4330;Hvalsø;0350
Lemvig;Rådhusgade 2;7620;Lemvig;0665
Lolland;Jernbanegade 7;4930;Maribo;0360
Lyngby-Taarbæk;Lyngby Torv;2800;Kongens Lyngby;0173
Læsø;Doktorvejen 2;9940;Læsø;0825
Mariagerfjord;Nordre Kajgade 1;9500;Hobro;0846
Middelfart;Nytorv 9;5500;Middelfart;0410
Morsø;Jernbanevej 7;7900;Nykøbing Mors;0773
Norddjurs;Torvet 3;8500;Grenaa;0707
Nordfyns;Østergade 23;5400;Bogense;0480
Nyborg;Torvet 1;5800;Nyborg;0450
Næstved;Rådmandshaven 20;4700;Næstved;0370
Odder;Rådhusgade 3;8300;Odder;0727
Odense;Flakhaven 2;5000;Odense C;0461
Odsherred;Nyvej 22;4573;Højby;0306
Randers;Laksetorvet;8900;Randers C;0730
Rebild;Hobrovej 110;9530;Støvring;0840
Ringkøbing-Skjern;Ved Fjorden 6;6950;Ringkøbing;0760
Ringsted;Sct. Bendtsgade 1;4100;Ringsted;0329
Roskilde;Rådhusbuen 1;4000;Roskilde;0265
Rudersdal;Øverødvej 2;2840;Holte;0230
Rødovre;Rødovre Parkvej 150;2610;Rødovre;0175
Samsø;Søtofte 10;8305;Samsø;0741
Silkeborg;Søvej 1;8600;Silkeborg;0740
Skanderborg;Skanderborg Fælled 1;8660;Skanderborg;0746
Skive;Torvegade 10;7800;Skive;0779
Slagelse;Rådhuspladsen 11;4200;Slagelse;0330
Solrød;Solrød Center 1;2680;Solrød Strand;0269
Sorø;Rådhusvej 8;4180;Sorø;0340
Stevns;Rådhuspladsen 4;4660;Store Heddinge;0336
Struer;Østergade 11-15;7600;Struer;0671
Svendborg;Ramsherred 5;5700;Svendborg;0479
Syddjurs;Lundbergsvej 2;8400;Ebbeltoft;0706
Sønderborg;Rådhustorvet 10;6400;Sønderborg;0540
Thisted;Asylgade 30;7700;Thisted;0787
Tønder;Kongevej 57;6270;Tønder;0550
Tårnby;Amager Landevej 76;2770;Kastrup;0185
Vallensbæk;Vallensbæk Stationstorv 100;2665;Vallensbæk Strand;0187
Varde;Bytoften 2;6800;Varde;0573
Vejen;Rådhuspassagen 3;6600;Vejen;0575
Vejle;Skolegade 1;7100;Vejle;0630
Vesthimmerland;Vestre Boulevard 7;9600;Aars;0820
Viborg;Prinsens Alle 5;8800;Viborg;0791
Vordingborg;Valdemarsgade 43;4760;Vordingborg;0390
Ærø;Statene 2;5970;Ærøskøbing;0492
Aabenraa;Skelbækvej 2;6200;Aabenraa;0580
Aalborg;Boulevarden 13;9000;Aalborg;0851
Aarhus;Rådhuspladsen 2;8000;Aarhus C;0751
